
2024/12/09 (12:52:44) | ===> btop++ v.1.4.0
2024/12/09 (12:52:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/09 (12:52:54) | ===> btop++ v.1.4.0
2024/12/09 (12:52:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/17 (16:41:43) | ===> btop++ v.1.4.0
2024/12/17 (16:41:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (12:45:44) | ===> btop++ v.1.4.0
2024/12/30 (12:45:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/03 (12:57:39) | ===> btop++ v.1.4.0
2025/01/03 (12:57:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/03 (12:58:09) | ===> btop++ v.1.4.0
2025/01/03 (12:58:09) | WARNING: Intel GPU: Failed to initialize PMU
